symbol,shortName,longName,currency,regularMarketPrice,regularMarketDayHigh,regularMarketDayLow,regularMarketDayRange,regularMarketChange,regularMarketChangePercent,regularMarketTime,marketCap,regularMarketVolume,regularMarketPreviousClose,regularMarketOpen,fiftyTwoWeekRange,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceEarnings,earningsPerShare
VALE3,VALE3,Vale S.A.,BRL,79.29,80.2,78.86,78.86 - 80.2,0.99,1.26,2026-03-16T16:34:50.000Z,334245394680,6837000,79.27,79.39,48.77 - 91.62,48.77,91.62,24.58604651162791,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,130.31,134.44,129.85,129.85 - 134.44,-2.79,-2.1,2026-03-16T17:02:50.000Z,33639150881.410248,477999,130.38,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.6,45.78,44.8,44.8 - 45.78,0.93,2.08,2026-03-16T17:02:50.000Z,604751749273,20602500,45.61,44.88,28.86 - 46.09,28.86,46.09,5.336703883154272,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.11,80.2,78.86,78.86 - 80.2,0.81,1.03,2026-03-16T17:02:50.000Z,334245394680,7486000,79.13,79.39,48.77 - 91.62,48.77,91.62,24.530232558139534,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,131.56,134.44,129.85,129.85 - 134.44,-1.54,-1.16,2026-03-16T17:33:51.000Z,33639150881.410248,509282,131.47,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.58,45.78,44.8,44.8 - 45.78,0.91,2.04,2026-03-16T17:33:51.000Z,604751749273,22524000,45.6,44.88,28.86 - 46.09,28.86,46.09,5.334363223556397,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.25,80.2,78.86,78.86 - 80.2,0.95,1.21,2026-03-16T17:33:51.000Z,334245394680,7922700,79.25,79.39,48.77 - 91.62,48.77,91.62,24.573643410852714,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,131.88,134.44,129.85,129.85 - 134.44,-1.22,-0.92,2026-03-16T18:01:51.000Z,33639150881.410248,543642,131.88,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.71,45.78,44.8,44.8 - 45.78,1.04,2.33,2026-03-16T18:01:51.000Z,604751749273,24452900,45.7,44.88,28.86 - 46.09,28.86,46.09,5.349577510942583,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.21,80.2,78.86,78.86 - 80.2,0.91,1.16,2026-03-16T18:01:51.000Z,334245394680,8407000,79.2,79.39,48.77 - 91.62,48.77,91.62,24.561240310077515,3.2360644
